,text_id,text,label
5039,hasoc_en_5040,I'm down with that Chuck. #BOYCOTTCHINA https://t.co/OwaolFkEWx,HOF
3541,hasoc_en_3542,I really don’t #sleep well at night knowing I wronged someone. I can’t imagine for a second how #LindaFairstein or the #NYCPolice officers sleep at night knowing they lied and locked up #innocent kids while the actual #rapist was out there. #Sad,NOT
5280,hasoc_en_5281,"https://t.co/kekbb9TJI6    What happens if the DUMBEST MAN ALIVE will manage the most complex equipment    He'll damage/break it    #Trump was the gift of a lifetime - it was clear, he'll do everything by himself    The ultimate goal - the collapse    #TrumpIsATraitor #ResistanceUnited",HOF
4610,hasoc_en_4611,Perjury #Investigation Imminent After Transcript Of Interview With Kavanaugh Accusers Is Revealed    #GangRapes #ChristineBlaseyFord #BrettKavanaugh #Rape #Rapist #BrettKavanaughRapist     https://t.co/6aE64RH1Hs,HOF
1353,hasoc_en_1354,@realDonaldTrump Trump cancels Iran Nuclear Deal.     Trump is surprised Iran won’t adhere to former Nuclear Deal (which Trump cancelled).     No wonder Don “The Art of the Deal” Trump has killed or bankrupted anything he touches.    #TrumpIsAMoron #TrumpIsACriminal #TrumpIsATraitor #ETTD,NOT
2549,hasoc_en_2550,@nishantchat 3.5 lacs #DoctorsFightBack are doing #mob_lynching against to the #patients,NOT
3921,hasoc_en_3922,It's a crime to hit a ONDUTY POLICE OFFICER but it's okay to hit a ONDUTY DOCTOR? #Bangladesh #India #Kolkata #doctors_against_assualt #DoctorsStrike #DoctorsFightBack #public,NOT
3177,hasoc_en_3178,Good that @ICC has realised its folly. It now wants @BCCI to explain whether #Dhoni gloves were carrying any kind of political message. Hopefully shashank manohar will give up his stand. #DhoniKeepsTheGlove,NOT
1778,hasoc_en_1779,Hi Dear @ICC Mumbai too is ready for your kind of #WorldCup2019   Just FYI     #CWC19 #CricketKaCrown #WashoutWorldCup #ShameOnICC https://t.co/vRSWvj1ENL,NOT
168,hasoc_en_169,#FuckTrump and his Birthday https://t.co/DmJBHyp9fi,NOT
4169,hasoc_en_4170,@toewad1 @JeremyVineOn5 @theJeremyVine @StormHuntley So it’s crap because they don’t put shit films on for you?! 😂 #DickHead,HOF
3570,hasoc_en_3571,@realDonaldTrump is pathetic. Happy #JohnMcCainDay #FuckTrump https://t.co/RPu2xTmVsq,NOT
4145,hasoc_en_4146,@realDonaldTrump 3 1/2 years?? Can you ever stop lying? #FuckTrump #WTFiswrongwithyou #TakeThatDamnPhoneAwayHim #ImpeachTheMF,HOF
3051,hasoc_en_3052,Great..... Well done @ICC @cricketworldcup .....Thanks for water entertainment.......  #ShameOnICC https://t.co/RbxaEfkunY,HOF
3011,hasoc_en_3012,Amazing! Now we see why his attorneys didn’t want him speaking to Mueller in person. @realDonaldTrump is far too dumb to stick to a script. He just can’t help himself. #MoronPresident #TrumpIsATraitor https://t.co/X9AWZEo7ag,HOF
2063,hasoc_en_2064,Thank you all for the New Followers! Twitter is being a butch and will only allow me to follow back a few at a time.  I will get to you all ASAP! #resisters #fucktrump  #muchlove,NOT
3502,hasoc_en_3503,MAGAts will be wishing the gobshite happy bday today. This day should be used to celebrate a man with honor not a traitor to our country. June 14th is #HappyJohnMcCainDay plz tweet n keep retweeting these 2#'s #JohnMcCainDay to keep them trending all day #fuckTrump n his bday https://t.co/ecW6eVEQty,HOF
2233,hasoc_en_2234,NYT: Mexico Had Already Agreed to Border Measures Trump Said Were Taken to Avert Tariffs #Resist #ResistTrump #FuckTrump https://t.co/508FLMjDAh,NOT
3767,hasoc_en_3768,#DhoniKeepsTheGlove or just write India on gloves but don't change gloves.,NOT
4574,hasoc_en_4575,Some record labels 🏷 Owners can kill Talent sha.... Awon #DickHead,HOF
4007,hasoc_en_4008,"If Rory Stewart or Boris becomes PM, the UK is doomed. #C4debate #BorisJohnsonShouldNotBePM #RoryStewart",HOF
5553,hasoc_en_5554,@mikelikessports @RobertKlemko Lock up the sexual predator #perv #molester #rapist,HOF
4953,hasoc_en_4954,@ICC you are able to see the  BALIDAN batch on @msdhoni gloves but not able to see the clouds above you. Very poorly managed by ICC.  #ShameOnICC,HOF
5375,hasoc_en_5376,"@realDonaldTrump and his evil spawn, DT,Jr. were cooperating w/an adversarial foreign government during the election, that's why they LIED repeatedly about having nothing to do with anyone from Russia. If they thought they did nothing wrong, they wouldn't need to LIE! #FuckTrump",HOF
5242,hasoc_en_5243,#deadliestcatch Harley can't fish. He rides the coat tails of @corneliamarie #douchebag,NOT
2773,hasoc_en_2774,@TheRealOJ32 Why are you on my feed? #NeverForget #NicoleBrown #RonGoldman #MURDERER,HOF
3581,hasoc_en_3582,"@AndyRichter Sarah, you will be remembered for being every bit as crooked as your gaze. Sorry.  #SarahHuckabeeSanders #SarahSanders #SarahSandersResigns #GOPTraitors #GOP #Treasonous #TrumpIsATraitor #Trump #TrumpIsALiar",HOF
1382,hasoc_en_1383,#rapist #rapevictim #evil #evilworld #rapevictim #secretdoorsunlocked #microtale   Read my thoughts on @YourQuoteApp #yourquote #quote #stories #qotd #quoteoftheday #wordporn #quotestagram #wordswag #wordsofwisdom… https://t.co/5m4s1hNaMg,NOT
4950,hasoc_en_4951,"Brutal, horrific, shocking ...a new low in the vitiation of human mind. The perpetrators must not go unpunished.    #death #deathofhumanity #murder #aligarh #womenempowerment #childrapist #3yearsold #girl #raped #Muslims  #childmolester #rapist #kid #kidrape #aligarhrapecase2019 https://t.co/9r92TnVuEi",HOF
457,hasoc_en_458,@brianstelter @OANN I went looking for dickheads this weekend and I found you.  #douchebag,HOF
5290,hasoc_en_5291,"@wiseguy161 @luvourprez @john_faidutti @realDonaldTrump I love this photo; it was taken shortly after she had her nipples surgically blurred. She had originally intended on marrying a rich Evangelist. But instead married a #pedophile, #rapist, #sexualassaulter who would prefer to bang his own daughter.",NOT
2989,hasoc_en_2990,Imagine your dying with cancer or with a fatal accident and there is no #doctor to treat you because medical aspirants stopped choosing this profession as you attack them unnecessarily!    #DoctorsFightBack #doctors_against_assualt #DoctorStrike #doctorsstrike https://t.co/bcia2sym6Q,NOT
313,hasoc_en_314,@realDonaldTrump TRAITOR  #TrumpIsATraitor https://t.co/Ip9XqS0U3c,HOF
2013,hasoc_en_2014,Anyone want any carpets taking up let me know I’ll send our Reggie🐶 he’s just done a lovely job in my bedroom 🤦🏻‍♀️ #staffy #darkdestoryer #dickhead,NOT
5690,hasoc_en_5691,@MittRomney #JohnMcCainDay Thanks for fund raising on the promise of Obamacare repeal from Republican voters only to screw them over by deciding it was more important to put yourself first just to screw Trump in a personal vendetta.  A RINO LIKE YOU!  'preciate it. #Douchebag https://t.co/femzVhXxde,HOF
4906,hasoc_en_4907,I got to knw d rsn behind most of d countries mocking us is bcz v r more concerned towards #CWC19 n blaming #ICC rather than focusing on real issues. People hv made a trend #ShameOnICC instead of helping Sudanese.    #CWC19,HOF
3424,hasoc_en_3425,"To all my fellow #Resisters followers and to those still out there, you guys/gals rock my socks off!!    #JohhMcCainDay   #FuckTrump  #ImpeachmentInquiryNow   #TheResistance    https://t.co/MtSD9ye5ng",HOF
1569,hasoc_en_1570,"Mohammed Amin the chairman of the Conservative Muslim Forum has made comparisons between leadership hopeful Boris Johnson and Adolf Hitler, and will quit if Johnson becomes prime minister..  https://t.co/706JhSS0eS    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/O4nhc9aqit",NOT
4832,hasoc_en_4833,"The Pentagon didn't have 'the courage' to tell you about how they're ramping up cyber operations on your boss man, Putin. They refused tell you anything about it because they knew you'd stop it. #TrumpIsATraitor https://t.co/FistCgjXib",HOF
309,hasoc_en_310,"#DhoniKeepsTheGlove or not, #TeamIndia supporters at #IndvAus #AusvInd match at #CWC19 can do their bit, can't they? https://t.co/X2CGihDhiY",NOT
757,hasoc_en_758,"Right #dickhead, free seats one over, feel free to move #personalspace",NOT
5130,hasoc_en_5131,"*After betrayal from momta Didi, media and patients*    AIIMS Doctors:     #DoctorsStrike #DidiVsDoctors #DoctorsFightBack #SaveBengal https://t.co/QZvAMILc3m",NOT
3598,hasoc_en_3599,@jinglebell93 @CillaGee_ @ReggieIn7 Meanwhile your bottom lip bigger than your top lip bubba gump #fucktrump,HOF
1083,hasoc_en_1084,East Turkestan National Anthem  https://t.co/lgPRDPZZh3  #Uyghur #FreeUyghur #EastTurkistan #StopChina #BoycottChina #Genocide #ウイグル #RT,NOT
2885,hasoc_en_2886,Too many doctors on my fucking Facebook fuck off ,HOF
5357,hasoc_en_5358,"@realDonaldTrump spent over $100M in 2 yrs. playing golf and promoting his resorts but he says nothing about 9/11 responders illnesses, the horrific number of deaths due to their trying to save so many lives! Trump doesn't give AF about anyone but himself! #FuckTrump #FuckGOP",HOF
4514,hasoc_en_4515,"@Sir_AhmedRufai Oga Ahmed, I would love if the report you came to gave is that your friend couldn't know what to do with the head of the rapist but you guys are you way to police to hand over the Useless head, you will need all the support to back up what has been done. #RAPIST  must die",HOF
5286,hasoc_en_5287,@realDonaldTrump YOU ARE THE WORST POTUS EVER  #trumpdumpster  #TrumpMustResign   #TrumpIsATraitor https://t.co/GpaGFRoirz,NOT
494,hasoc_en_495,"This is all happening on a cricket ground.. In jersey, may be an @ICC event. | Where was @ICC &amp; their rule-book when this was happening on the play ground.     @TheRealPCB @cricketworldcup @ICCMediaComms  @BCCI @ShuklaRajiv @msdhoni @KirenRijiju #DhoniKeepsTheGlove @brajeshlive https://t.co/D2wzt0fN90",NOT
4996,hasoc_en_4997,#DhoniKeepsTheGlove  #IndiaStandsWithDhoni   If needed INDIANS are ready to #BoycottWorldCup  for respect @ICC @BCCI @WorldCup_Score @cricketworldcup   #IndiaWithDhoni   @msdhoni @imVkohli @GautamGambhir @ImRo45,HOF
1434,hasoc_en_1435,@KimKardashian @IvankaTrump You’re a Kardashian politician!  Nothing to be proud of!  Daily photos of people who need help are better than photos of wealthy assholes laughing at the rest of us!  #Trump #TrumpIsATraitor #TrumpsAnInternationalDisgrace #IvankaTrump,HOF
3963,hasoc_en_3964,We should ALL fight back against donnie dump's unconstitutional question on the new census that asks if you are a citizen! Check off □not a citizen!! #fucktrump,HOF
1499,hasoc_en_1500,Cannot wait until Sunday &amp; @GStephanopoulos interview with #Trump!   If they released the BOMBSHELLS they did - then what is @ABC saving for the ratings?  #TrumpTantrum #ABCNews #TrumpIsATraitor,NOT
4814,hasoc_en_4815,"#michaelhosang #rapist #sleazebag, catch him and hang him by the #balls.  https://t.co/YSgeLcREDP",HOF
3224,hasoc_en_3225,@NBCNews Exclusive: This #douchebag likes our #douchebag @potus  Maybe they can get adjoining cells.  #PrisonForTrump,NOT
5169,hasoc_en_5170,Petition the moron with a swastika in his El Sobrante front yard to knock it off #Resist #ResistTrump #FuckTrump https://t.co/N6tbPZQVSC,NOT
5463,hasoc_en_5464,"Oh just dandy, yeah right!!   Another repug to represent my state. Another #Trump lover! Thank you, said no one ever!  #TrumpIsATraitor    https://t.co/ili0tQz0zN",HOF
5014,hasoc_en_5015,#BREAKING Group of people(probably goons of TMC) attacked on a 2nd year medical student at 4pm at Calcutta National Medical College NOW. THIS HAS TO STOP! It is never ending! #Savethedoctors #SaveBengalSaveDemocracy #DoctorsFightBack https://t.co/1CYRViNcPr,HOF
144,hasoc_en_145,"@realDonaldTrump This is one of the worst times to be American, because you are causing serious damage to our country. I sure don't wish you a Happy Father's Day, because everyone knows you're a terrible father. #DerangedDonald #TrumpisaTraitor #TrumpisaCriminal",HOF
4470,hasoc_en_4471,Livingston secured the Olympics.  Johnson 'spaffed' millions on a garden bridge and 2bwater cannons. He cut the met police and lied about slashing the London Fire Brigade.  #BorisJohnsonShouldNotBePM https://t.co/5VJwPfwKWM https://t.co/vkpRKJmsXb,NOT
2522,hasoc_en_2523,@JeffreyToobin #Murderer!!! He killed people! https://t.co/031Fr4Mvg5,NOT
408,hasoc_en_409,Rain is in forecast on Sunday. The match between India and pakistan is likely to be called off. #Worstworldcup #ShameOnICC,NOT
4283,hasoc_en_4284,"This is how TMC MP of Murshidabad of #Bengal has openly issued rape threats to the lady doctors.#DoctorsFightBack,#MamataLosingControl,#IndiaFirst, #TeamIndiaFirst https://t.co/tnrfQlGMtj",HOF
5192,hasoc_en_5193,From our Latino friends. #Liar #fucksarahsanders #fucktrump #VoteBlueNoMatterWho2020 https://t.co/bvqU7aKvIB,HOF
4737,hasoc_en_4738,@NHLonNBCSports @NHLBruins Whatever. Dude still licks other players. #douchebag,NOT
4310,hasoc_en_4311,@realDonaldTrump No. One. Believes. You.     #TrumpLiesEveryTimeHeSpeaks   #TrumpIsATraitor,HOF
617,hasoc_en_618,Many people are saying that there’s no secret deal with Mexico. WRONG! Another fake news story. I have the proof right here.  #Resist #fucktrump https://t.co/cK29y7D3Tj,NOT
4158,hasoc_en_4159,"What a shameful @ICC @cricketworldcup .  You dont have any problem with the logo’s of drinks, tobacco , cold drinks , Whichever is injurious to health but an INDIAN Balidan badge is a problem for u... Strange isn’t it ? #DhoniKeepsTheGlove #DhoniKeSaathDesh @BCCI @msdhoni",HOF
1042,hasoc_en_1043,Proud of paramilitary forces and proud of Dhoni  #DhoniKeepsTheGlove https://t.co/EJbKeLitfp,NOT
5698,hasoc_en_5699,@mitchellvii @realDonaldTrump .@mitchellvii uses the word #douchebag because he hears it so much. 🤣 https://t.co/Jl6tp6r8LS,HOF
2234,hasoc_en_2235,@dwancherry I read until I got to the picture of him with the Trump jersey on the wall.  #douchebag,NOT
759,hasoc_en_760,@realDonaldTrump You are causing Market volatility.  The market will be falling before the 2020 election thanks to you. You have set American back!  Wish Obama was still President. #ImpeachTrumpNow #TrumpIsATraitor #Resist #TrumpResignNow https://t.co/I4tv7TUEkC,NOT
383,hasoc_en_384,"Darius, Boris and a blast from the past | The Independent https://t.co/NIbcwEbj0L  #BorisJohnsonShouldNotBePM",NOT
5030,hasoc_en_5031,This more than anything else should be the reason Boris Johnson doesn’t get the top job #BorisJohnsonShouldNotBePM https://t.co/xCWZjts8co,HOF
1201,hasoc_en_1202,@ChrisEvans Johnny in Fantastic4   #missioncomplete #dickhead,NOT
5486,hasoc_en_5487,@republic @INCIndia and oppon using #Parliament to abuse PM. Kick them out for rest of the time #GandiNaaliAbuse,HOF
314,hasoc_en_315,@realDonaldTrump @foxandfriends Pete Hogsbreath is in Dotard Donald Trump’s club for Adulterous Daddies! #Adultery #TrumpCrimeFamily #TrumpIsAFraud #TrumpsAnInternationalDisgrace #TrumpIsATraitor @foxandfriends,HOF
4672,hasoc_en_4673,@RepMattGaetz @realDonaldTrump #HappyJohnMcCainDay  🙌🏻🙌🏻💙💙🙌🏻💙🙌🏻🙌🏻🙌🏻     @RepMattGaetz  is a DRUNK AND   #TrumpIsATraitor,HOF
5079,hasoc_en_5080,If the @Conservatives elect #borisjohnson I will never vote for them again! #BorisJohnsonShouldNotBePM #noshowboris,HOF
1272,hasoc_en_1273,"@MattHancock Oh goody, a marmite Tory leader attempting to deliver the marmite policy of Brexit. Best estimate you've boosted your 21% in the polls to 25%. Its still not enough to win the next election  #BorisJohnsonShouldNotBePM #NoBrexitPlan #NoDealCatastrophe #StopBrexitSaveBritain",NOT
2900,hasoc_en_2901,"#StopParliamentAbuse \n#GandiNaaliAbuse \nOnce again Congress goon MP Adhir Ranjan Chaudhary has insulted PM Modi.\n\nEven after losing 2014 & 2019 Elections, Congress has not learnt from thr mistakes.\n\n#CongGandiNaaliInsult",HOF
4738,hasoc_en_4739,#virginia  has a racist governand #rapist lt governor both @TheDemocrats https://t.co/s39gdTQ1ll,NOT
5699,hasoc_en_5700,@Dodgers Madbum is such a #DoucheBag,HOF
4608,hasoc_en_4609,@labourpress Great parliamentary quotes of our times. #BorisJohnsonShouldNotBePM https://t.co/Dj0gj6FPE4,HOF
5572,hasoc_en_5573,"@davidfrum @gtconway3d It is not a secret, all of the world knows our President is compromised.   #TrumpsAnInternationalDisgrace   #TrumpIsADisgrace   #TrumpLies   #TrumpIsATraitor   #TrumpIsTheEnemyOfThePeople   #TrumpIsANationalSecurityThreat",HOF
4974,hasoc_en_4975,@MasterQGJinn @Speed_Peete #FuckTrump and this unethical Administration!,HOF
1922,hasoc_en_1923,"#congressmuktbharat hone mein thoda hi time bacha hai, @INCIndia  @RahulGandhi  You are still living in the past  Do some introspection, today's youth and public is well informed and will not fall prey to such tactics   All the best     https://t.co/QEH5FN6iRk",NOT
2,hasoc_en_3,@cricketworldcup Guess who would be the winner of this #CWC19?     Team who gets maximum points from the abandoned matches 😄 #ShameOnICC #WIvsENG @ICC,NOT
59,hasoc_en_60,All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR,NOT
3390,hasoc_en_3391,!!! !!! WE 'KNOW' YOU ARE A 'LOW-LIFE' - #MURDERER AND GUILTY-OF #KILLING #NICOLEBROWNSIMPSON AND #RONGOLDMAN ... AN #INNOCENT 'MAN' DOESN'T #RUN !!! !!! ///  #KILLER #KILLER #KILLER  #OJSimpson //////////////// https://t.co/X6jSG5z7xM,NOT
3254,hasoc_en_3255,@PeterDilworth1 @jeremycorbyn @Andrew_Adonis @SeumasMilne @BenPBradshaw @LenMcCluskey @Keir_Starmer @EmilyThornberry @BarryGardiner @johnmcdonnellMP @RLong_Bailey @AngelaRayner @HackneyAbbott @UKLabour Let's wait till #BorisJohnsonShouldNotBePM will explain it for us 👍😂🤮🤦‍♂️,NOT
272,hasoc_en_273,Candle march by doctors of BHU to support the cause of NRSMC.Sir subderlal opd and elective ot also obesreved strike today on national protest day.#DoctorsFightBack #savethedoctors https://t.co/kjWPJT43lB,NOT
